rotor,weight,time,irregular,opposite
L,Y,2.89,,
L,Y,3.35,,
L,Y,2.66,,
L,Y,1.81,,
L,Y,1.60,,
L,Y,2.08,,
L,Y,1.76,,
S,Y,1.76,,
S,Y,1.86,,
S,Y,1.98,,
S,Y,1.98,,
S,Y,1.58,,
S,Y,1.80,,
L,N,2.31,,
L,N,1.78,,
L,N,2.58,,
L,N,1.71,,
L,N,1.05,,
L,N,1.50,,
L,N,1.36,,
S,N,1.61,,
S,N,2.16,,
S,N,2.48,,
S,N,2.11,,
S,N,1.98,,
S,N,1.76,,
S,N,1.90,,
S,N,1.86,,
S,N,1.64,,
S,N,1.58,,
S,N,2.00,,
S,N,1.89,,
S,N,1.91,,
S,N,2.08,,
S,N,1.85,,
S,Y,1.45,,
S,Y,1.58,,
S,Y,1.92,,
S,Y,1.76,,
S,Y,1.82,,
S,Y,1.70,,
S,Y,1.78,,
S,Y,1.51,,
L,Y,1.79,,
L,Y,1.94,,
L,Y,1.70,,
L,Y,1.55,,
L,Y,1.74,,
L,Y,2.05,,
L,Y,1.86,,
L,Y,2.12,,
L,N,1.60,,
L,N,2.04,,
L,N,1.70,,
L,N,1.98,,
L,N,1.57,,
L,N,1.69,,
L,N,1.69,,
L,N,1.55,,
L,N,1.62,Y,
L,N,1.92,,
L,N,2.07,,
L,N,2.21,,
L,N,1.36,,
L,N,2.07,,
L,N,1.39,Y,
L,N,2.11,,
L,N,1.86,,
L,N,1.88,,
L,N,1.88,,
L,N,1.97,,
L,N,1.43,Y,
L,N,2.14,,
L,N,2.04,,
L,N,1.67,,
L,N,1.99,,
L,N,1.83,,
L,N,1.39,Y,
L,N,1.89,,
L,N,1.94,,
L,N,1.76,,
L,N,1.94,,
L,N,1.81,Y,
L,Y,1.63,,
L,Y,1.78,,
L,Y,1.75,,
L,Y,1.55,,
L,Y,1.73,,
L,Y,1.82,,
L,Y,1.57,,
L,Y,1.87,,
L,N,1.70,,
L,N,1.92,,
L,N,2.05,,
L,N,1.87,,
L,N,1.87,,
L,N,1.83,,
L,N,1.90,,
L,N,1.88,,
S,N,1.70,,
S,N,1.67,,
S,N,1.73,,
S,N,1.78,,
S,N,1.75,,
S,N,1.57,,
S,N,1.56,,
S,Y,1.62,,
S,Y,1.82,,
S,Y,1.85,,
S,Y,1.82,,
S,Y,1.50,,
S,Y,1.78,Y,
S,Y,1.57,,
S,Y,1.82,,
S,Y,2.08,,
S,N,1.86,,
S,N,1.98,,
S,N,1.48,,
S,N,1.80,Y,
S,N,2.34,,
S,N,2.34,,
S,N,2.24,,
S,N,1.86,,
S,N,1.86,Y,
S,N,1.81,,
S,Y,1.96,,
S,Y,1.81,,
S,Y,1.96,,
S,Y,2.15,,
S,Y,2.23,,
S,Y,2.10,,
S,Y,2.09,,
S,Y,1.88,,
L,N,1.86,,
L,N,2.13,,
L,N,1.31,,
L,N,1.78,,
L,N,1.85,,
L,N,1.79,,
L,Y,2.23,,
L,Y,1.65,,
L,Y,1.84,,
L,Y,2.19,,
L,Y,2.15,,
S,N,1.51,,
S,N,1.45,,
S,N,1.62,,
S,N,1.48,,
S,N,1.90,,
S,N,1.88,,
S,N,1.80,,
S,N,1.66,,
S,N,1.85,,
S,Y,1.73,,
S,Y,1.73,,
S,Y,1.81,,
S,Y,1.72,,
S,Y,1.59,,
S,Y,1.70,,
S,Y,1.67,,
S,Y,1.50,,
S,Y,1.65,,
L,Y,1.76,,
L,Y,1.88,,
L,Y,1.86,,
L,Y,1.57,,
L,Y,1.69,,
L,Y,1.78,,
L,Y,1.70,,
L,Y,1.66,,
L,Y,1.68,,
L,N,2.00,,
L,N,1.90,,
L,N,1.45,,
L,N,1.84,,
L,N,1.94,,
L,N,1.79,,
L,N,1.51,,
L,N,1.60,,
L,N,1.84,,
S,N,1.15,,
S,N,1.29,,
S,N,1.08,,
S,N,1.68,,
S,Y,1.28,,
S,Y,1.60,,
S,Y,1.49,,
S,Y,1.42,,
L,N,1.61,,
L,N,1.62,,
L,N,1.55,,
L,N,1.75,,
L,Y,1.57,,
L,Y,1.49,,
L,Y,1.62,,
L,Y,1.75,,
S,N,1.58,,
S,N,1.55,,
S,N,1.55,,
S,N,1.55,,
S,Y,1.42,,
S,Y,1.32,,
S,Y,1.41,,
S,Y,1.69,,
L,N,1.49,,
L,N,1.83,,
L,N,1.61,,
L,N,1.82,,
L,Y,1.69,,
L,Y,1.48,,
L,Y,1.32,,
L,Y,1.75,,
S,Y,1.78,,
S,Y,1.70,,
S,Y,2.36,,
S,Y,1.76,,
S,N,2.36,,
S,N,1.58,,
S,N,2.00,,
S,N,1.39,,
L,Y,1.71,,
L,Y,1.36,,
L,Y,1.81,,
L,Y,2.00,,
L,N,1.76,,
L,N,1.28,,
L,N,1.14,,
L,N,1.76,,
S,Y,1.52,,
S,Y,1.55,,
S,Y,1.85,,
S,Y,1.68,,Y
S,Y,1.64,,
S,Y,1.67,,
S,Y,1.84,,
S,Y,1.76,,Y
L,Y,1.95,,
L,Y,1.76,,
L,Y,1.66,,
L,Y,1.75,,Y
L,Y,1.78,,
L,Y,1.81,,
L,Y,1.72,,
L,Y,1.85,,Y
S,N,1.59,,
S,N,1.54,,
S,N,1.43,,
S,N,1.93,,Y
S,N,1.78,,
S,N,1.81,,
S,N,1.71,,
S,N,1.86,,Y
L,N,1.63,,
L,N,1.84,,
L,N,1.68,,Y
L,N,2.06,,Y
L,N,1.98,,
L,N,1.87,,
L,N,1.56,,Y
L,N,1.93,,Y